state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
Himachal Pradesh,age_26_29,02,2.4831,18.5424,12.912,17.055,25.2307,12.057,24.4859,29.1463,20.1649,18.7666,29.1156,15.2412,23.3542,18.0977,4.5956,95.4044
Himachal Pradesh,age_30_33,02,3.1228,6.4676,5.0071,5.655,7.5496,5.9416,7.466,7.2295,5.1741,6.7642,8.5751,4.6089,7.1214,16.8073,5.6641,94.3359
Himachal Pradesh,age_34_plus,02,7.2138,2.5579,2.503,2.0141,1.7595,3.5143,1.8811,1.3746,1.3641,3.0464,1.7734,1.648,1.9819,11.478,18.8096,81.1904
Himachal Pradesh,age_below10,02,95.0348,0.9346,0.9368,0.8899,1.3627,0.9071,1.0287,1.1585,1.0264,1.0362,1.105,0.9519,1.0524,0.0,70.8735,29.1265
Punjab,age_10_13,03,36.1052,0.1856,0.3454,0.1637,0.2573,0.3031,0.1974,0.1586,0.2133,0.3249,0.2108,0.2437,0.2188,0.0,6.7255,93.2745
Punjab,age_14_17,03,3.4222,1.828,3.0506,1.4239,1.5417,2.7862,1.5737,0.9735,1.814,2.6973,1.5802,2.255,1.7528,0.0,7.5468,92.4532
Punjab,age_18_21,03,2.4394,34.6711,34.0182,30.2879,25.4839,35.5013,26.8437,21.8958,29.7549,28.6265,23.7529,33.03,27.2696,0.0,9.2842,90.7158
Punjab,age_22_25,03,2.154,41.4045,36.7983,42.5219,43.3552,39.1948,41.8618,43.5009,41.4629,35.0326,41.6173,40.1034,40.7622,10.9423,10.7145,89.2855
Punjab,age_26_29,03,1.9167,11.0939,10.8592,14.1459,17.1601,10.0998,17.5193,20.193,14.2654,13.0722,20.3551,11.9214,16.6726,14.4636,13.3819,86.6181
Punjab,age_30_33,03,2.0918,4.2891,4.3184,5.0046,4.7297,4.8558,5.3213,5.3308,4.3945,5.3583,5.7112,4.2099,5.3045,13.093,17.184,82.816
Punjab,age_34_plus,03,3.3016,1.3449,1.6807,1.6369,1.2149,1.8872,1.4019,1.1565,1.2262,1.9282,1.3274,1.3161,1.4819,12.4095,31.506,68.494
Punjab,age_below10,03,95.0086,0.8909,0.9149,0.975,1.2287,0.8776,1.1164,1.202,1.0829,0.9523,1.2191,0.983,1.0866,0.0,72.3962,27.6038
Chandigarh,age_10_13,04,38.8882,1.2685,1.161,0.1937,0.5756,1.2868,0.5079,0.3118,0.7102,0.5781,0.5063,0.8618,0.5189,0.0,4.9837,95.0163
Chandigarh,age_14_17,04,4.0912,5.1797,9.62,2.5178,4.0292,10.1634,4.1544,2.5933,6.0377,3.9281,4.1621,7.2756,4.1663,0.0,5.4639,94.5361
Chandigarh,age_18_21,04,3.048,30.5497,45.778,29.632,28.7414,47.5039,27.3207,23.6796,39.5866,20.7205,27.2789,43.4869,26.7909,0.0,7.2552,92.7448
Chandigarh,age_22_25,04,2.4444,30.2326,27.7443,34.9903,36.7613,27.3907,33.4691,38.6459,34.4856,28.5584,33.4373,31.6493,32.808,22.0737,7.0282,92.9718
Chandigarh,age_26_29,04,2.2645,20.5074,7.5543,19.561,19.1865,6.3111,22.9919,22.9125,11.0503,24.819,23.063,8.6179,23.0121,32.169,8.5412,91.4588
Chandigarh,age_30_33,04,2.4998,5.814,2.111,6.1975,5.1804,2.5789,6.2804,5.6512,2.8158,9.0641,6.2943,2.6591,6.5538,30.3798,10.2811,89.7189
Chandigarh,age_34_plus,04,2.4254,1.5856,0.7992,2.4532,1.3431,1.0278,1.4813,1.3834,0.7737,3.1765,1.4763,0.9163,1.6664,35.0193,13.8066,86.1934
Chandigarh,age_below10,04,97.1101,1.1628,1.0253,1.3557,1.4198,0.937,1.1977,1.2048,1.1108,0.8945,1.1945,1.054,1.1653,0.0,71.9369,28.0631
Uttarakhand,age_10_13,05,34.7797,0.276,0.6994,0.4334,0.3067,0.7059,0.2909,0.1888,0.2932,0.7358,0.2257,0.4905,0.3592,0.0,5.138,94.862
Uttarakhand,age_14_17,05,3.7917,2.9044,6.2064,4.0682,2.488,5.9826,2.652,1.6677,2.9285,5.5543,1.9576,4.4762,3.1568,0.0,4.3904,95.6096
Uttarakhand,age_18_21,05,2.6405,44.1606,41.0169,39.9996,29.5468,42.7248,31.9002,27.0379,38.5361,30.5861,26.375,41.3851,32.4548,0.0,5.9991,94.0009
Uttarakhand,age_22_25,05,2.4306,36.0019,32.8869,36.3866,36.9581,32.7455,36.7917,40.2401,38.1889,31.197,37.0923,35.1801,36.0474,20.2906,6.9951,93.0049
Uttarakhand,age_26_29,05,2.3762,8.2849,8.8875,10.9454,17.7134,7.8868,16.5533,18.5392,11.2029,13.6744,20.366,9.3157,15.5887,25.3353,9.374,90.626
Uttarakhand,age_30_33,05,2.6087,3.2323,3.7806,3.6925,6.5507,3.8486,6.1735,5.7465,3.2466,5.6517,7.7591,3.458,5.8264,25.4892,11.5205,88.4795
