state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Jharkhand,age_10_13,20,40.5063,45.0437,41.2259,30.4668,46.2203,31.3065,1.7801,0.6777,2.9472,1.3623,2.5675,1.0079,11.9777,10.1492,10.5653,5.3488,12.4185,3.8183,88.0223,89.8508,89.4347,94.6512,87.5815,96.1817,5.6962,6.7149,7.1125,12.5307,6.732,9.397
Jharkhand,age_14_17,20,5.6818,7.3675,6.1705,0.4338,9.8262,2.2202,18.7435,9.4243,29.3409,12.0193,30.9719,11.5158,6.7138,9.7449,13.8311,3.9583,16.1065,2.6126,93.2862,90.2551,86.1689,96.0417,83.8935,97.3874,35.9848,36.4352,38.6983,45.1193,33.1269,41.1193
Jharkhand,age_18_21,20,4.878,5.562,6.3917,1.3636,11.1613,0.9213,35.9686,39.8455,42.1708,40.8921,43.9828,39.7867,10.219,15.2738,25.9053,7.9498,28.6459,3.163,89.781,84.7262,74.0947,92.0502,71.3541,96.837,16.2602,19.8043,18.0363,7.2727,16.5794,10.9715
Jharkhand,age_below10,20,93.2692,94.552,95.6633,93.871,95.4922,95.094,1.9895,1.3396,1.7587,1.0108,1.5719,1.0177,75.2675,76.51,75.2566,69.9321,76.7695,72.1919,24.7325,23.49,24.7434,30.0679,23.2305,27.8081,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,age_10_13,21,19.5029,34.7826,24.8471,20.9302,26.4272,27.8481,1.1918,0.5712,0.9148,0.7339,1.2698,0.5553,8.2456,14.5573,9.2126,3.2154,6.8613,5.8122,91.7544,85.4427,90.7874,96.7846,93.1387,94.1878,13.1931,7.6403,11.853,13.289,12.4057,10.6013
Odisha,age_14_17,21,4.4061,7.2042,5.669,1.0453,5.8811,2.7182,20.2871,12.9438,17.8666,11.5963,18.1924,10.0879,4.918,19.138,12.1588,4.3333,8.8207,2.7816,95.082,80.862,87.8412,95.6667,91.1793,97.2184,44.8276,43.3351,44.771,43.554,44.4543,42.7754
Odisha,age_18_21,21,7.5117,8.0624,7.1375,2.8777,6.7003,1.897,41.3868,45.1616,45.4429,41.9083,44.7641,38.6087,14.8,28.4343,17.9597,4.1379,12.2554,6.3452,85.2,71.5657,82.0403,95.8621,87.7446,93.6548,18.3099,25.0876,26.7764,7.1942,29.5772,14.6341
Odisha,age_below10,21,94.1748,95.1489,95.0177,95.3846,94.2514,94.6565,1.4085,0.7761,0.9295,1.1009,0.913,1.2186,74.7549,75.4733,73.949,71.9828,73.227,72.8028,25.2451,24.5267,26.051,28.0172,26.773,27.1972,0.0,0.0,0.0,0.0,0.0,0.0
Chhattisgarh,age_10_13,22,27.7404,35.8092,41.2901,21.6971,33.3063,28.8191,1.4148,0.7706,3.6584,0.9124,2.1232,0.8336,2.357,3.8592,7.5189,1.4815,4.3624,1.6136,97.643,96.1408,92.4811,98.5185,95.6376,98.3864,8.7851,5.7379,4.1288,10.58,8.6772,8.8566
Chhattisgarh,age_14_17,22,1.49,3.1282,6.3576,0.3173,3.7429,1.9483,14.8907,10.9977,25.7542,9.6012,19.8702,9.8873,2.0434,4.482,10.25,0.6828,4.7219,2.172,97.9566,95.518,89.75,99.3172,95.2781,97.828,48.5739,48.5701,44.8276,42.4643,44.7227,44.0417
