state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Andhra Pradesh,age_26_29,28,9.0389,,,,,,41.5157,58.4843,,
Andhra Pradesh,age_30_33,28,11.4557,88.9659,90.072,,,,51.7921,48.2079,,
Andhra Pradesh,age_34_plus,28,16.0454,70.357,80.9584,,,,76.9154,23.0846,,
Andhra Pradesh,age_below10,28,91.6194,0.0,0.0,0.8432,0.7051,25.3256,71.9371,28.0629,24.6205,74.6744
Karnataka,age_10_13,29,28.4413,2.6611,1.8972,1.8704,3.7031,12.3712,7.6624,92.3376,8.668,87.6288
Karnataka,age_14_17,29,4.2954,21.3402,11.8402,2.8343,17.9988,35.3001,10.2361,89.7639,17.3013,64.6999
Karnataka,age_18_21,29,5.316,68.5073,45.9544,3.0733,35.2565,67.3231,16.8397,83.1603,32.0666,32.6769
Karnataka,age_22_25,29,7.1549,86.1641,74.4556,,,,24.1025,75.8975,,
Karnataka,age_26_29,29,10.715,,,,,,36.0741,63.9259,,
Karnataka,age_30_33,29,13.8843,88.8244,87.5633,,,,46.7401,53.2599,,
Karnataka,age_34_plus,29,20.3391,70.1893,81.2731,,,,74.4227,25.5773,,
Karnataka,age_below10,29,95.4236,0.0,0.0,1.0016,0.7351,34.4855,73.5292,26.4708,33.7503,65.5145
Goa,age_10_13,30,32.5843,1.9569,1.7493,3.3453,0.9558,8.1243,4.3011,95.6989,7.1685,91.8757
Goa,age_14_17,30,2.904,13.894,8.8116,3.5539,5.0245,18.3824,2.9412,97.0588,13.3578,81.6176
Goa,age_18_21,30,2.0408,47.2843,32.7209,6.9114,11.6631,42.9806,4.7516,95.2484,31.3175,57.0194
Goa,age_22_25,30,3.9384,68.8776,59.4655,,,,6.7093,93.2907,,
Goa,age_26_29,30,6.77,,,,,,10.6414,89.3586,,
Goa,age_30_33,30,7.7869,82.9545,77.7826,,,,14.6853,85.3147,,
Goa,age_34_plus,30,21.6884,67.776,79.0541,,,,40.275,59.725,,
Goa,age_below10,30,95.0758,0.0,0.0,2.6236,0.7064,28.8597,72.2835,27.7165,28.1534,71.1403
Kerala,age_10_13,32,20.1825,1.3305,0.933,0.7322,0.2722,2.6035,1.2425,98.7575,2.3313,97.3965
Kerala,age_14_17,32,5.8953,9.9764,5.632,1.4054,2.1566,8.8986,0.9286,99.0714,6.742,91.1014
Kerala,age_18_21,32,3.6882,48.6502,29.5445,1.9934,9.4985,37.381,1.0346,98.9654,27.8824,62.619
Kerala,age_22_25,32,1.748,76.6775,57.8363,,,,1.3882,98.6118,,
Kerala,age_26_29,32,2.3037,,,,,,2.2852,97.7148,,
Kerala,age_30_33,32,4.1477,85.7338,79.6996,,,,3.7946,96.2054,,
Kerala,age_34_plus,32,21.7792,65.4688,77.8409,,,,26.9579,73.0421,,
Kerala,age_below10,32,95.5745,0.0,0.0,0.4796,0.1863,21.9247,70.8797,29.1203,21.7383,78.0753
Tamil Nadu,age_10_13,33,10.5779,1.9172,1.2892,1.537,1.0595,5.0878,2.5032,97.4968,4.0283,94.9122
Tamil Nadu,age_14_17,33,0.8575,14.6163,8.3545,2.3145,9.7091,22.2211,2.6094,97.3906,12.512,77.7789
Tamil Nadu,age_18_21,33,1.3756,59.336,39.9983,2.3307,27.1975,58.8215,4.5212,95.4788,31.624,41.1785
